Model_Num,Serial_Num,Year,Month,Day,Hour,Type,Gu_Name,Dong_Name,Temp
SDOT001,OC3CL200195,2023,1,2,0,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.7
SDOT001,OC3CL200195,2023,1,2,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.4
SDOT001,OC3CL200195,2023,1,2,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.6
SDOT001,OC3CL200195,2023,1,2,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.2
SDOT001,OC3CL200195,2023,1,2,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.3
SDOT001,OC3CL200195,2023,1,2,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.5
SDOT001,OC3CL200195,2023,1,2,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.2
SDOT001,OC3CL200195,2023,1,2,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.0
SDOT001,OC3CL200195,2023,1,2,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.0
SDOT001,OC3CL200195,2023,1,2,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.9
SDOT001,OC3CL200195,2023,1,2,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.0
SDOT001,OC3CL200195,2023,1,2,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.5
SDOT001,OC3CL200195,2023,1,2,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.4
SDOT001,OC3CL200195,2023,1,2,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.3
SDOT001,OC3CL200195,2023,1,2,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.9
SDOT001,OC3CL200195,2023,1,2,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.0
SDOT001,OC3CL200195,2023,1,2,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.5
SDOT001,OC3CL200195,2023,1,2,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.9
SDOT001,OC3CL200195,2023,1,2,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.3
SDOT001,OC3CL200195,2023,1,2,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.8
SDOT001,OC3CL200195,2023,1,2,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.2
SDOT001,OC3CL200195,2023,1,3,0,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.7
SDOT001,OC3CL200195,2023,1,3,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-5.3
SDOT001,OC3CL200195,2023,1,3,3,roads_and_parks,Dongdaemun-gu,Imun2-dong,-6.2
SDOT001,OC3CL200195,2023,1,3,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-6.3
SDOT001,OC3CL200195,2023,1,3,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-7.9
SDOT001,OC3CL200195,2023,1,3,7,roads_and_parks,Dongdaemun-gu,Imun2-dong,-7.7
SDOT001,OC3CL200195,2023,1,3,8,roads_and_parks,Dongdaemun-gu,Imun2-dong,-7.6
SDOT001,OC3CL200195,2023,1,3,9,roads_and_parks,Dongdaemun-gu,Imun2-dong,-8.2
SDOT001,OC3CL200195,2023,1,3,10,roads_and_parks,Dongdaemun-gu,Imun2-dong,-6.9
SDOT001,OC3CL200195,2023,1,3,11,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.2
SDOT001,OC3CL200195,2023,1,3,12,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.2
SDOT001,OC3CL200195,2023,1,3,13,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.3
SDOT001,OC3CL200195,2023,1,3,14,roads_and_parks,Dongdaemun-gu,Imun2-dong,0.7
SDOT001,OC3CL200195,2023,1,3,15,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.8
SDOT001,OC3CL200195,2023,1,3,16,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.7
SDOT001,OC3CL200195,2023,1,3,17,roads_and_parks,Dongdaemun-gu,Imun2-dong,-0.8
SDOT001,OC3CL200195,2023,1,3,18,roads_and_parks,Dongdaemun-gu,Imun2-dong,-1.8
SDOT001,OC3CL200195,2023,1,3,19,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.0
SDOT001,OC3CL200195,2023,1,3,20,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.3
SDOT001,OC3CL200195,2023,1,3,21,roads_and_parks,Dongdaemun-gu,Imun2-dong,-2.7
SDOT001,OC3CL200195,2023,1,3,22,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.0
SDOT001,OC3CL200195,2023,1,3,23,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.0
SDOT001,OC3CL200195,2023,1,4,0,roads_and_parks,Dongdaemun-gu,Imun2-dong,-3.8
SDOT001,OC3CL200195,2023,1,4,1,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.4
SDOT001,OC3CL200195,2023,1,4,5,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.8
SDOT001,OC3CL200195,2023,1,4,6,roads_and_parks,Dongdaemun-gu,Imun2-dong,-4.8
