ADM_CD,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
1101072,14434.5443,14443.666000000001,14415.1505,14421.3515,14450.6429,14340.144,14590.8972,15970.731899999999,17675.4094,18769.825100000002,19349.7872,20336.5593,19985.593800000002,20113.290399999998,20168.5959,19131.9757,17747.552,16857.3714,16814.9879,16780.444199999998,16107.511199999999,15718.1298,13837.039,14120.3877
1101053,11225.3238,10970.4199,10800.701,10658.901100000001,10997.9983,11909.619999999999,14580.2493,20127.3292,31735.0291,36918.161,39224.2334,41950.942,42362.1915,41579.535599999996,41211.9395,40551.5161,39762.0071,39085.9038,33719.663,29164.5904,25778.527,21732.2991,17350.3128,12575.3919
1101054,3535.2083000000002,3557.9896,3570.9377,3598.0257,3634.0393000000004,3780.1886,4371.6444,5915.046600000001,7119.331800000001,8386.663,9095.2082,10008.086800000001,10135.8645,10464.0555,10421.5205,9783.937899999999,8847.8539,8076.6255,6719.2995,6117.8001,5188.6041000000005,4409.5896,3921.004,3548.6146
1101055,13270.065200000001,13234.8358,13293.683799999999,13353.5677,13422.6305,13481.3999,13364.6285,14081.0964,14151.3344,13576.3423,13642.0897,13902.0537,14214.7696,14188.3657,13696.3633,13432.7492,12303.0531,11861.9372,11201.9374,11469.5324,11746.8836,11933.6836,12761.1907,13171.625399999999
1101056,18876.1626,18947.2604,19193.8223,19266.3724,19376.559,19309.6411,19283.4503,18443.691,16942.3422,16252.6172,15190.588099999999,15053.9277,14536.0195,14186.9678,14015.1691,14002.2349,14021.4946,14145.5695,14466.4597,15065.8812,16148.5149,16857.4582,17677.314300000002,18441.3003
1101057,6816.4088,6706.2936,6651.9083,6679.958,6711.1672,6739.5705,6780.3138,6669.9679,6080.9892,5790.7437,5451.6512999999995,5498.724999999999,5072.6112,4972.6526,4688.4621,5166.6942,4986.3243,5262.7048,5582.87,5552.0793,5519.3592,5852.2148,6305.430899999999,6834.2932
1101058,8151.4724,8178.1571,8138.6885999999995,8477.0476,8518.8228,8298.613800000001,8367.9105,9188.5476,8779.8429,8845.2786,8650.5187,8722.736,8558.7643,8539.0555,8874.4205,9200.5575,9007.1496,8763.5087,8486.1057,8701.6134,8604.7905,8799.02,8627.015899999999,7850.5568
1101060,4322.5515,4282.5639,4265.0661,4268.6841,4236.3417,4269.581700000001,4848.2057,7130.3958,9077.680400000001,10133.2855,10451.2631,10744.1311,11045.852499999999,11221.731199999998,11163.8421,11094.9884,9449.645,7913.5445,6411.946,5787.0725,5024.8787,4424.1376,4063.4368999999997,4164.6232
1101061,26765.2102,25059.1725,24285.8053,23839.971700000002,24464.1974,26200.997,31671.8035,47930.962700000004,75680.0055,92869.1877,104769.3154,117449.6224,121230.1192,122177.25,122630.9687,119457.5451,114384.8714,106393.9871,91469.9391,79688.6467,69611.0249,57991.0863,45233.3744,34538.84
1101063,8939.8683,8954.0105,9015.6645,8942.8172,9327.7024,9782.3193,10961.3572,14250.4716,19414.4391,23192.759,25501.1453,27276.2581,27637.3421,28166.207000000002,27830.422,26663.173000000003,25795.0803,21774.0383,18046.8442,15183.1201,13586.862799999999,12010.4506,10806.3725,8645.8235
